ACCTTYPE,IMPDESCRIPTION,EXT CONDITION,INT CONDITION,IMPQUALITY,AYB,EYB,IMPNETSF,BEDROOMCOUNT,BATHCOUNT,MaxOfCURR ACT,ECONOMICAREACODE
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1973,805.0,,1.0,37670,1
Residential,MANUFACTURED HOUSING,Average,,Average,1984,1984,1152.0,2.0,2.0,82740,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1967,1969,1328.0,4.0,2.0,79000,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1972,1972,854.0,2.0,1.0,35170,1
Residential,MANUFACTURED HOUSING,Average,,Average,1975,1975,784.0,2.0,1.0,50450,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1977,1977,702.0,2.0,1.0,28910,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1973,952.0,0.0,1.0,49900,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1975,1975,905.0,2.0,1.5,46590,1
Residential,MANUFACTURED HOUSING,Below Average,,Low,1960,1960,515.0,2.0,1.0,28720,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1972,1972,938.0,0.0,1.0,35120,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1969,1969,920.0,2.0,1.0,62190,1
Residential,MANUFACTURED HOUSING,Average,,Low,1959,1959,520.0,0.0,1.0,28010,1
Residential,MANUFACTURED HOUSING,Average,,Low,1965,1965,500.0,2.0,1.0,34860,1
Residential,MANUFACTURED HOUSING,Average,,Low,1980,1980,938.0,2.0,2.0,39230,1
Residential,MANUFACTURED HOUSING,Average,,Average,1975,1975,1650.0,0.0,1.0,212360,1
Residential,MANUFACTURED HOUSING,Average,,Average,1977,1977,904.0,3.0,2.0,74040,8
Residential,Manufactured Housing,Average,,Fair,1981,1981,910.0,2.0,1.0,46850,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1980,1980,1178.0,2.0,1.0,55130,1
Residential,Manufactured Housing,Below Average,,Fair,1974,1974,924.0,3.0,1.0,38050,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1981,1981,938.0,2.0,1.7,43900,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1978,1978,898.0,2.0,2.0,44130,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1973,840.0,0.0,1.0,31450,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1977,1977,980.0,0.0,1.0,45860,1
Residential,MANUFACTURED HOUSING,Average,,Low,1964,1964,460.0,0.0,1.0,32070,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1972,784.0,2.0,1.0,40360,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1978,1978,938.0,2.0,1.0,43900,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1972,1972,784.0,2.0,1.0,32290,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1980,1980,924.0,3.0,1.0,43240,1
Residential,MANUFACTURED HOUSING,Minimum,,Low,1960,1960,304.0,0.0,1.0,0,8
Residential,MANUFACTURED HOUSING,Below Average,,Low,1970,1970,660.0,0.0,1.0,0,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1973,938.0,0.0,1.0,35120,1
Residential,Manufactured Housing,Average,,Fair,1972,1972,672.0,2.0,1.0,71670,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1973,854.0,1.0,1.0,39970,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1980,1983,1082.0,2.0,1.0,55700,1
Residential,MANUFACTURED HOUSING,Below Average,,Low,1964,1966,530.0,2.0,1.0,29560,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1977,878.0,2.0,1.0,41090,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1980,1980,784.0,2.0,1.0,32290,1
Residential,MANUFACTURED HOUSING,Average,,Average,1974,1974,938.0,0.0,1.0,54870,1
Residential,MANUFACTURED HOUSING,Below Average,,Low,1959,1959,500.0,2.0,1.0,36380,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1975,1975,924.0,2.0,1.0,34590,1
